epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,18844.5,0.79973,1.15199,0.55701,0.80688,0.95084,0.85251,0.9346,0.75645,0.92576,0.80579,0.8669,0.47654,0.70735,1.04347,0.43945,0.79797,0.008185,0.008185,0.008185
57,19611.7,0.79763,1.15161,0.5577,0.80662,0.94932,0.85319,0.9346,0.7563,0.92553,0.80558,0.86607,0.47626,0.70685,1.04338,0.43857,0.79788,0.008152,0.008152,0.008152
58,20390,0.79764,1.1548,0.55666,0.80661,0.95028,0.8537,0.93507,0.75702,0.92495,0.80585,0.86684,0.47677,0.70603,1.04266,0.43788,0.7978,0.008119,0.008119,0.008119
59,21164.1,0.7991,1.15385,0.55473,0.80608,0.95024,0.85541,0.93538,0.75681,0.92563,0.80555,0.86606,0.47583,0.70566,1.0418,0.4372,0.79775,0.008086,0.008086,0.008086
60,21940.2,0.79547,1.15446,0.55526,0.80612,0.94892,0.85665,0.93554,0.75709,0.92647,0.80429,0.86672,0.47699,0.70552,1.04147,0.43654,0.79774,0.008053,0.008053,0.008053
61,22709.3,0.79165,1.14679,0.55222,0.8061,0.95034,0.85664,0.93583,0.75765,0.92508,0.80558,0.86651,0.47754,0.70465,1.04133,0.43575,0.79764,0.00802,0.00802,0.00802
62,23488,0.79154,1.13777,0.54987,0.80601,0.94951,0.85747,0.93608,0.758,0.91937,0.80901,0.86663,0.47807,0.70395,1.04065,0.43508,0.79756,0.007987,0.007987,0.007987
63,24266.6,0.79075,1.14606,0.54852,0.80781,0.95015,0.85622,0.93602,0.75823,0.91984,0.81097,0.86753,0.47803,0.70333,1.03892,0.4346,0.79751,0.007954,0.007954,0.007954
64,25040.5,0.78951,1.13706,0.5495,0.80681,0.95182,0.85546,0.93598,0.75852,0.91946,0.81246,0.86794,0.47818,0.70238,1.03795,0.43382,0.79739,0.007921,0.007921,0.007921
65,25820.7,0.78774,1.14311,0.54638,0.80571,0.95097,0.8567,0.93618,0.75879,0.92046,0.81375,0.86892,0.47818,0.70173,1.03711,0.43331,0.79732,0.007888,0.007888,0.007888
66,26608,0.78849,1.14622,0.54665,0.80606,0.95225,0.85598,0.93614,0.75887,0.92134,0.81281,0.86836,0.478,0.70164,1.03666,0.43291,0.79729,0.007855,0.007855,0.007855
67,27402.1,0.78539,1.13779,0.54424,0.80561,0.95286,0.85571,0.93626,0.75928,0.92012,0.81327,0.86812,0.47845,0.70074,1.03591,0.43246,0.79721,0.007822,0.007822,0.007822
68,28187.3,0.78539,1.13863,0.54436,0.80496,0.95341,0.85618,0.93629,0.75945,0.91998,0.81449,0.8696,0.4799,0.70023,1.03575,0.43213,0.79712,0.007789,0.007789,0.007789
